timestamp,ch1
1743680545.827,1882.6427319816032
1743680545.831,1873.5008684993827
1743680545.8349998,1868.9858161194104
1743680545.839,1885.8613831831676
1743680545.843,1880.0275778803325
1743680545.847,1874.5737522332372
1743680545.8509998,1869.075223097232
1743680545.855,1877.5018307568823
1743680545.859,1878.37354879064
1743680545.863,1877.412423779061
1743680545.867,1882.5756767482371
1743680545.8709998,1879.4687842689495
1743680545.875,1880.0275778803325
1743680545.879,1887.51541227286
1743680545.883,1882.7321389594244
1743680545.8869998,1883.648560482092
1743680545.8909998,1884.9002581715893
1743680545.895,1886.844859939201
1743680545.899,1884.587333749215
1743680545.903,1882.486269770416
1743680545.907,1875.4231185225392
1743680545.911,1866.75064167388
1743680545.915,1873.7690894328464
1743680545.919,1884.0732436267429
1743680545.923,1877.9041621570784
1743680545.927,1885.5037552718825
1743680545.931,1881.9498279034888
1743680545.9350002,1881.882772670123
1743680545.939,1884.6767407270363
1743680545.943,1886.5319355168267
1743680545.947,1886.6436942391035
1743680545.951,1875.8925051561005
1743680545.9550002,1871.8244876652348
1743680545.959,1892.2763338418408
1743680545.963,1887.269543083852
1743680545.967,1892.008112908377
1743680545.971,1889.8623454406677
1743680545.975,1892.4998512863936
1743680545.979,1895.8526129546897
1743680545.983,1895.3385228322177
1743680545.987,1888.364778562162
1743680545.991,1886.37547330564
1743680545.995,1882.620380237148
1743680545.999,1898.3783600781396
1743680546.003,1898.0430839113096
1743680546.007,1897.037255410821
1743680546.011,1892.008112908377
1743680546.015,1887.6942262285029
1743680546.019,1893.2374588534187
1743680546.023,1895.51733678786
1743680546.027,1894.3326943317288
1743680546.031,1887.13543261712
1743680546.035,1886.9566186614773
1743680546.039,1907.877851471645
1743680546.043,1899.2500781118963
1743680546.047,1898.110139144676
1743680546.051,1893.3045140867848
1743680546.055,1887.873040184145
1743680546.059,1888.5435925178044
1743680546.063,1892.857479197679
1743680546.067,1892.7680722198572
1743680546.071,1886.2860663278184
1743680546.0749998,1880.2734470693408
1743680546.079,1900.56883103476
1743680546.083,1898.8030432227904
1743680546.087,1891.7175402304576
1743680546.0909998,1889.035330895821
1743680546.095,1897.2831245998293
1743680546.099,1891.583429763726
1743680546.103,1886.9566186614773
1743680546.107,1892.298685586296
1743680546.1109998,1884.140298860109
1743680546.115,1891.404615808084
1743680546.119,1901.597011279704
1743680546.123,1899.875926956645
1743680546.127,1901.552307790793
1743680546.1309998,1906.916726460067
1743680546.135,1903.2510403693964
1743680546.139,1906.4473398265047
1743680546.143,1911.14120616212
1743680546.147,1912.8622904851784
1743680546.151,1915.745665519913
1743680546.155,1910.5600608062816
1743680546.1590002,1925.513377846882
1743680546.163,1922.495892345416
1743680546.167,1922.585299323237
1743680546.171,1911.9905724514213
1743680546.1750002,1911.3200201177624
1743680546.179,1908.548403805304
1743680546.183,1909.5318805613376
1743680546.187,1912.5270143183488
1743680546.191,1902.6922467580137
1743680546.1950002,1891.7175402304576
1743680546.199,1912.839938740723
1743680546.203,1918.0925986877205
1743680546.207,1906.5143950598715
1743680546.211,1898.937153689522
1743680546.2150002,1901.395845579606
1743680546.219,1902.9381159470224
1743680546.223,1903.7427787474128
1743680546.227,1906.357932848684
1743680546.231,1898.2889531003184
1743680546.235,1887.6942262285029
1743680546.239,1896.009075165877
1743680546.243,1904.972124692455
1743680546.247,1908.682514272036
1743680546.251,1906.648505526603
1743680546.255,1905.1732903925529
1743680546.259,1906.581450293237
1743680546.263,1916.0809416867423
1743680546.267,1909.33071486124
1743680546.271,1900.747644990402
1743680546.275,1899.071264156254
1743680546.279,1909.3530666056952
1743680546.283,1904.1451101476089
1743680546.287,1900.9488106905
1743680546.291,1903.273392113852
1743680546.295,1908.3248863607512
1743680546.299,1905.9332497040327
1743680546.303,1902.2675636133629
1743680546.307,1901.4852525574272
1743680546.311,1903.4745578139496
1743680546.3149998,1901.2840868573292
1743680546.319,1913.644601541114
1743680546.323,1910.716523017469
1743680546.327,1913.8010637523012
1743680546.331,1911.9905724514213
1743680546.335,1913.3093253742843
1743680546.339,1914.8515957417007
1743680546.343,1910.2471363839077
1743680546.347,1909.6659910280696
1743680546.3509998,1909.71069451698
1743680546.355,1913.488139329927
1743680546.359,1926.0274679693543
1743680546.363,1924.4628458574828
1743680546.367,1919.746627777413
1743680546.3709998,1917.489101587427
1743680546.375,1918.2043574099969
1743680546.379,1920.8865667446337
1743680546.383,1917.198528909508
1743680546.387,1915.477444586449
1743680546.391,1914.8962992306117
1743680546.395,1918.159653921086
1743680546.3990002,1928.7990842818124
1743680546.403,1916.0809416867423
1743680546.407,1915.231575397441
1743680546.411,1920.551290577804
1743680546.4150002,1919.0760754437536
1743680546.419,1916.7067905314912
1743680546.423,1920.551290577804
1743680546.427,1928.8884912596336
1743680546.431,1921.9594504784884
1743680546.4350002,1917.131473676142
1743680546.439,1927.5473865923152
1743680546.443,1922.942927234522
1743680546.447,1919.165482421575
1743680546.451,1921.132435933642
1743680546.4550002,1922.3841336231392
1743680546.459,1920.104255688698
1743680546.463,1926.519206347371
1743680546.467,1933.00121223941
1743680546.471,1924.3734388796613
1743680546.475,1915.8127207532789
1743680546.479,1930.2519476714076
1743680546.483,1927.100351703209
1743680546.487,1926.0274679693543
1743680546.491,1926.519206347371
1743680546.495,1923.8369970127344
1743680546.499,1928.039124970332
1743680546.503,1925.8039505248007
1743680546.507,1924.5299010908489
1743680546.511,1921.0206772113652
1743680546.515,1918.584337065737
1743680546.519,1932.4424186280276
1743680546.523,1929.2684709153737
1743680546.527,1931.7271628054573
1743680546.531,1925.982764480444
1743680546.535,1923.233499912441
1743680546.539,1929.9166715045776
